Time,Target,Current,Error
10:00:000,500,495,-5
10:00:001,500,497,-3
10:00:002,500,505,5
10:00:003,500,497,-3
10:00:004,500,505,5
10:00:005,500,501,1
10:00:006,500,503,3
10:00:007,500,495,-5
10:00:008,500,501,1
10:00:009,500,503,3
10:00:010,500,504,4
10:00:011,500,498,-2
10:00:012,500,503,3
10:00:013,500,498,-2
10:00:014,500,500,0
10:00:015,500,497,-3
10:00:016,500,505,5
10:00:017,500,504,4
10:00:018,500,498,-2
10:00:019,500,505,5
10:00:020,500,503,3
10:00:021,500,501,1
10:00:022,500,504,4
10:00:023,500,500,0
10:00:024,500,505,5
10:00:025,500,500,0
10:00:026,500,498,-2
10:00:027,500,496,-4
10:00:028,500,501,1
10:00:029,500,500,0
10:00:030,500,495,-5
10:00:031,500,498,-2
10:00:032,500,503,3
10:00:033,500,497,-3
10:00:034,500,504,4
10:00:035,500,505,5
10:00:036,500,498,-2
10:00:037,500,505,5
10:00:038,500,504,4
10:00:039,500,501,1
10:00:040,500,503,3
10:00:041,500,505,5
10:00:042,500,496,-4
10:00:043,500,496,-4
10:00:044,500,502,2
10:00:045,500,497,-3
10:00:046,500,495,-5
10:00:047,500,499,-1
10:00:048,500,497,-3
10:00:049,500,500,0
10:00:050,500,505,5
10:00:051,500,503,3
10:00:052,500,505,5
10:00:053,500,496,-4
10:00:054,500,505,5
10:00:055,500,505,5
10:00:056,500,499,-1
10:00:057,500,498,-2
10:00:058,500,496,-4
10:00:059,500,499,-1
10:00:060,500,501,1
10:00:061,500,496,-4
10:00:062,500,501,1
10:00:063,500,497,-3
10:00:064,500,495,-5
10:00:065,500,503,3
10:00:066,500,499,-1
10:00:067,500,500,0
10:00:068,500,499,-1
10:00:069,500,504,4
10:00:070,500,503,3
10:00:071,500,503,3
10:00:072,500,498,-2
10:00:073,500,504,4
10:00:074,500,500,0
10:00:075,500,496,-4
10:00:076,500,496,-4
10:00:077,500,502,2
10:00:078,500,500,0
10:00:079,500,496,-4
10:00:080,500,500,0
10:00:081,500,501,1
10:00:082,500,501,1
10:00:083,500,500,0
10:00:084,500,503,3
10:00:085,500,502,2
10:00:086,500,502,2
10:00:087,500,498,-2
10:00:088,500,501,1
10:00:089,500,503,3
10:00:090,500,501,1
10:00:091,500,498,-2
10:00:092,500,500,0
10:00:093,500,501,1
10:00:094,500,500,0
