ID:001, RSSI:-59dBm, Status:OK
ID:002, RSSI:-69dBm, Status:OK
ID:003, RSSI:-45dBm, Status:OK
ID:004, RSSI:-45dBm, Status:OK
ID:005, RSSI:-46dBm, Status:OK
ID:006, RSSI:-79dBm, Status:OK
ID:007, RSSI:-53dBm, Status:OK
ID:008, RSSI:-74dBm, Status:OK
ID:009, RSSI:-47dBm, Status:OK
ID:010, RSSI:-73dBm, Status:OK
ID:011, RSSI:-46dBm, Status:OK
ID:012, RSSI:-49dBm, Status:OK
ID:013, RSSI:-75dBm, Status:OK
ID:014, RSSI:-73dBm, Status:OK
ID:015, RSSI:-45dBm, Status:OK
ID:016, RSSI:-57dBm, Status:OK
ID:017, RSSI:-71dBm, Status:OK
ID:018, RSSI:-54dBm, Status:OK
ID:020, RSSI:-51dBm, Status:OK
ID:021, RSSI:-55dBm, Status:OK
ID:022, RSSI:-68dBm, Status:OK
ID:023, RSSI:-45dBm, Status:OK
ID:025, RSSI:-80dBm, Status:OK
ID:026, RSSI:-61dBm, Status:OK
ID:027, RSSI:-77dBm, Status:OK
ID:028, RSSI:-62dBm, Status:OK
ID:029, RSSI:-70dBm, Status:OK
ID:030, RSSI:-52dBm, Status:OK
ID:031, RSSI:-49dBm, Status:OK
ID:032, RSSI:-75dBm, Status:OK
ID:033, RSSI:-78dBm, Status:OK
ID:034, RSSI:-44dBm, Status:OK
ID:035, RSSI:-75dBm, Status:OK
ID:036, RSSI:-51dBm, Status:OK
ID:037, RSSI:-53dBm, Status:OK
ID:038, RSSI:-68dBm, Status:OK
ID:039, RSSI:-53dBm, Status:OK
ID:040, RSSI:-71dBm, Status:OK
ID:041, RSSI:-77dBm, Status:OK
ID:042, RSSI:-41dBm, Status:OK
ID:043, RSSI:-62dBm, Status:OK
ID:044, RSSI:-57dBm, Status:OK
ID:045, RSSI:-40dBm, Status:OK
ID:046, RSSI:-65dBm, Status:OK
ID:049, RSSI:-71dBm, Status:OK
ID:050, RSSI:-73dBm, Status:OK
ID:051, RSSI:-61dBm, Status:OK
ID:053, RSSI:-70dBm, Status:OK
ID:054, RSSI:-41dBm, Status:OK
ID:055, RSSI:-41dBm, Status:OK
ID:056, RSSI:-70dBm, Status:OK
ID:057, RSSI:-49dBm, Status:OK
ID:058, RSSI:-78dBm, Status:OK
ID:059, RSSI:-79dBm, Status:OK
ID:060, RSSI:-65dBm, Status:OK
ID:061, RSSI:-73dBm, Status:OK
ID:062, RSSI:-56dBm, Status:OK
ID:063, RSSI:-49dBm, Status:OK
ID:065, RSSI:-61dBm, Status:OK
ID:066, RSSI:-40dBm, Status:OK
ID:068, RSSI:-58dBm, Status:OK
ID:069, RSSI:-77dBm, Status:OK
ID:070, RSSI:-42dBm, Status:OK
ID:072, RSSI:-50dBm, Status:OK
ID:073, RSSI:-54dBm, Status:OK
ID:074, RSSI:-59dBm, Status:OK
ID:075, RSSI:-65dBm, Status:OK
ID:076, RSSI:-67dBm, Status:OK
ID:077, RSSI:-75dBm, Status:OK
ID:078, RSSI:-50dBm, Status:OK
ID:079, RSSI:-68dBm, Status:OK
ID:080, RSSI:-54dBm, Status:OK
ID:081, RSSI:-55dBm, Status:OK
ID:082, RSSI:-68dBm, Status:OK
ID:083, RSSI:-79dBm, Status:OK
ID:084, RSSI:-45dBm, Status:OK
ID:085, RSSI:-47dBm, Status:OK
ID:086, RSSI:-46dBm, Status:OK
ID:088, RSSI:-73dBm, Status:OK
ID:090, RSSI:-75dBm, Status:OK
ID:091, RSSI:-51dBm, Status:OK
ID:092, RSSI:-63dBm, Status:OK
ID:093, RSSI:-50dBm, Status:OK
ID:094, RSSI:-47dBm, Status:OK
ID:095, RSSI:-72dBm, Status:OK
ID:096, RSSI:-49dBm, Status:OK
ID:097, RSSI:-74dBm, Status:OK
ID:098, RSSI:-49dBm, Status:OK
ID:099, RSSI:-48dBm, Status:OK
ID:102, RSSI:-65dBm, Status:OK
ID:103, RSSI:-63dBm, Status:OK
ID:104, RSSI:-79dBm, Status:OK
ID:105, RSSI:-78dBm, Status:OK
ID:106, RSSI:-60dBm, Status:OK
ID:107, RSSI:-48dBm, Status:OK
ID:108, RSSI:-47dBm, Status:OK
ID:109, RSSI:-71dBm, Status:OK
ID:110, RSSI:-47dBm, Status:OK
ID:111, RSSI:-57dBm, Status:OK
ID:112, RSSI:-59dBm, Status:OK
ID:113, RSSI:-52dBm, Status:OK
ID:114, RSSI:-69dBm, Status:OK
ID:115, RSSI:-80dBm, Status:OK
ID:116, RSSI:-49dBm, Status:OK
ID:117, RSSI:-69dBm, Status:OK
ID:118, RSSI:-57dBm, Status:OK
ID:119, RSSI:-49dBm, Status:OK
ID:120, RSSI:-78dBm, Status:OK
ID:121, RSSI:-50dBm, Status:OK
ID:122, RSSI:-67dBm, Status:OK
ID:123, RSSI:-65dBm, Status:OK
ID:124, RSSI:-60dBm, Status:OK
ID:125, RSSI:-62dBm, Status:OK
ID:127, RSSI:-79dBm, Status:OK
ID:128, RSSI:-77dBm, Status:OK
ID:129, RSSI:-79dBm, Status:OK
ID:130, RSSI:-75dBm, Status:OK
ID:131, RSSI:-77dBm, Status:OK
ID:132, RSSI:-74dBm, Status:OK
ID:133, RSSI:-44dBm, Status:OK
ID:134, RSSI:-40dBm, Status:OK
ID:135, RSSI:-41dBm, Status:OK
ID:136, RSSI:-63dBm, Status:OK
ID:137, RSSI:-63dBm, Status:OK
ID:138, RSSI:-79dBm, Status:OK
ID:139, RSSI:-46dBm, Status:OK
ID:140, RSSI:-69dBm, Status:OK
ID:141, RSSI:-52dBm, Status:OK
ID:142, RSSI:-59dBm, Status:OK
ID:143, RSSI:-50dBm, Status:OK
ID:145, RSSI:-73dBm, Status:OK
ID:146, RSSI:-42dBm, Status:OK
ID:147, RSSI:-73dBm, Status:OK
ID:148, RSSI:-67dBm, Status:OK
ID:149, RSSI:-42dBm, Status:OK
ID:150, RSSI:-74dBm, Status:OK
ID:151, RSSI:-76dBm, Status:OK
ID:153, RSSI:-51dBm, Status:OK
ID:154, RSSI:-64dBm, Status:OK
ID:155, RSSI:-41dBm, Status:OK
ID:156, RSSI:-58dBm, Status:OK
ID:157, RSSI:-64dBm, Status:OK
ID:158, RSSI:-73dBm, Status:OK
ID:159, RSSI:-80dBm, Status:OK
ID:160, RSSI:-72dBm, Status:OK
ID:161, RSSI:-53dBm, Status:OK
ID:162, RSSI:-60dBm, Status:OK
ID:163, RSSI:-58dBm, Status:OK
ID:164, RSSI:-63dBm, Status:OK
ID:165, RSSI:-56dBm, Status:OK
ID:166, RSSI:-51dBm, Status:OK
ID:167, RSSI:-42dBm, Status:OK
ID:169, RSSI:-76dBm, Status:OK
ID:170, RSSI:-49dBm, Status:OK
ID:171, RSSI:-56dBm, Status:OK
ID:172, RSSI:-75dBm, Status:OK
ID:173, RSSI:-48dBm, Status:OK
ID:174, RSSI:-57dBm, Status:OK
ID:175, RSSI:-67dBm, Status:OK
ID:176, RSSI:-49dBm, Status:OK
ID:177, RSSI:-56dBm, Status:OK
ID:178, RSSI:-80dBm, Status:OK
ID:180, RSSI:-45dBm, Status:OK
ID:182, RSSI:-60dBm, Status:OK
ID:183, RSSI:-53dBm, Status:OK
ID:184, RSSI:-46dBm, Status:OK
ID:185, RSSI:-47dBm, Status:OK
ID:186, RSSI:-53dBm, Status:OK
ID:187, RSSI:-47dBm, Status:OK
ID:188, RSSI:-61dBm, Status:OK
ID:192, RSSI:-58dBm, Status:OK
ID:193, RSSI:-65dBm, Status:OK
ID:194, RSSI:-80dBm, Status:OK
ID:195, RSSI:-80dBm, Status:OK
ID:196, RSSI:-80dBm, Status:OK
ID:197, RSSI:-70dBm, Status:OK
ID:199, RSSI:-76dBm, Status:OK
ID:200, RSSI:-69dBm, Status:OK
ID:201, RSSI:-70dBm, Status:OK
ID:202, RSSI:-56dBm, Status:OK
ID:203, RSSI:-65dBm, Status:OK
