LOG_ID:001 | USER:guest | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:002 | USER:guest | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:003 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:004 | USER:root | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:005 | USER:dr_ozhan | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:006 | USER:student_22 | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:007 | USER:guest | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:008 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:009 | USER:student_22 | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:010 | USER:student_22 | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:011 | USER:admin | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:012 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:013 | USER:root | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:014 | USER:student_22 | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:015 | USER:admin | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:016 | USER:admin | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:017 | USER:guest | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:018 | USER:dr_ozhan | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:019 | USER:guest | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:020 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:021 | USER:guest | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:022 | USER:admin | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:023 | USER:dr_ozhan | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:024 | USER:admin | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:025 | USER:student_22 | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:026 | USER:dr_ozhan | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:027 | USER:analyst_beta | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:028 | USER:admin | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:029 | USER:dr_ozhan | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:030 | USER:root | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:031 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:032 | USER:guest | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:033 | USER:guest | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:034 | USER:admin | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:035 | USER:guest | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:036 | USER:student_22 | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:037 | USER:student_22 | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:038 | USER:root | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:039 | USER:student_22 | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:040 | USER:admin | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:041 | USER:student_22 | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:042 | USER:admin | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:043 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:044 | USER:student_22 | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:045 | USER:dr_ozhan | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:046 | USER:analyst_beta | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:047 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:048 | USER:admin | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:049 | USER:root | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:050 | USER:student_22 | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:051 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:052 | USER:analyst_beta | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:053 | USER:admin | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:054 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:055 | USER:admin | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:056 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
