13/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 88 | ERR_CODE: 500
20/03/2026 | system_root | Database_Query | 18 | ERR_CODE: 200
16/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 66 | ERR_CODE: 404
18/03/2026 | system_root | Database_Query | 93 | ERR_CODE: 404
23/03/2026 | ozhan_akdag | File_Access | 32 | ERR_CODE: 403
23/03/2026 | guest_user | Login_Attempt | 79 | ERR_CODE: 500
27/03/2026 | ozhan_akdag | File_Access | 69 | ERR_CODE: 200
22/03/2026 | bot_analyst | File_Access | 28 | ERR_CODE: 403
18/03/2026 | ozhan_akdag | Login_Attempt | 37 | ERR_CODE: 403
25/03/2026 | guest_user | Login_Attempt | 32 | ERR_CODE: 200
23/03/2026 | ozhan_akdag | Login_Attempt | 81 | ERR_CODE: 404
12/03/2026 | system_root | File_Access | 45 | ERR_CODE: 404
16/03/2026 | ozhan_akdag | Login_Attempt | 68 | ERR_CODE: 500
16/03/2026 | bot_analyst | Database_Query | 55 | ERR_CODE: 500
12/03/2026 | guest_user | Login_Attempt | 85 | ERR_CODE: 200
22/03/2026 | ozhan_akdag | File_Access | 88 | ERR_CODE: 200
11/03/2026 | guest_user | Admin_Privilege_Escalation | 91 | ERR_CODE: 200
19/03/2026 | bot_analyst | Admin_Privilege_Escalation | 60 | ERR_CODE: 403
10/03/2026 | bot_analyst | Database_Query | 22 | ERR_CODE: 500
11/03/2026 | guest_user | Admin_Privilege_Escalation | 52 | ERR_CODE: 403
20/03/2026 | system_root | Database_Query | 84 | ERR_CODE: 500
22/03/2026 | guest_user | File_Access | 23 | ERR_CODE: 200
17/03/2026 | guest_user | File_Access | 86 | ERR_CODE: 404
16/03/2026 | bot_analyst | Login_Attempt | 35 | ERR_CODE: 404
16/03/2026 | system_root | Database_Query | 10 | ERR_CODE: 200
24/03/2026 | bot_analyst | Database_Query | 49 | ERR_CODE: 403
27/03/2026 | system_root | File_Access | 92 | ERR_CODE: 200
10/03/2026 | guest_user | Login_Attempt | 55 | ERR_CODE: 500
26/03/2026 | system_root | File_Access | 25 | ERR_CODE: 404
27/03/2026 | ozhan_akdag | File_Access | 34 | ERR_CODE: 200
14/03/2026 | system_root | Admin_Privilege_Escalation | 85 | ERR_CODE: 500
15/03/2026 | guest_user | Database_Query | 63 | ERR_CODE: 500
14/03/2026 | system_root | File_Access | 54 | ERR_CODE: 403
18/03/2026 | bot_analyst | Database_Query | 91 | ERR_CODE: 404
27/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 60 | ERR_CODE: 500
16/03/2026 | ozhan_akdag | Login_Attempt | 80 | ERR_CODE: 404
27/03/2026 | guest_user | Login_Attempt | 25 | ERR_CODE: 200
26/03/2026 | ozhan_akdag | Database_Query | 47 | ERR_CODE: 404
18/03/2026 | guest_user | Login_Attempt | 65 | ERR_CODE: 500
27/03/2026 | bot_analyst | Database_Query | 52 | ERR_CODE: 200
19/03/2026 | guest_user | Login_Attempt | 84 | ERR_CODE: 404
20/03/2026 | guest_user | Login_Attempt | 27 | ERR_CODE: 200
17/03/2026 | system_root | Admin_Privilege_Escalation | 10 | ERR_CODE: 200
10/03/2026 | bot_analyst | Database_Query | 50 | ERR_CODE: 500
20/03/2026 | guest_user | Database_Query | 95 | ERR_CODE: 200
11/03/2026 | system_root | Admin_Privilege_Escalation | 86 | ERR_CODE: 404
14/03/2026 | system_root | Admin_Privilege_Escalation | 94 | ERR_CODE: 404
17/03/2026 | guest_user | File_Access | 49 | ERR_CODE: 403
13/03/2026 | ozhan_akdag | File_Access | 73 | ERR_CODE: 403
19/03/2026 | ozhan_akdag | Login_Attempt | 91 | ERR_CODE: 200
28/03/2026 | ozhan_akdag | Database_Query | 46 | ERR_CODE: 500
25/03/2026 | guest_user | File_Access | 89 | ERR_CODE: 200
18/03/2026 | bot_analyst | File_Access | 30 | ERR_CODE: 500
13/03/2026 | guest_user | Database_Query | 28 | ERR_CODE: 404
26/03/2026 | bot_analyst | File_Access | 88 | ERR_CODE: 200
14/03/2026 | system_root | Admin_Privilege_Escalation | 85 | ERR_CODE: 403
15/03/2026 | guest_user | File_Access | 83 | ERR_CODE: 404
27/03/2026 | system_root | Admin_Privilege_Escalation | 75 | ERR_CODE: 403
11/03/2026 | system_root | Login_Attempt | 93 | ERR_CODE: 200
19/03/2026 | ozhan_akdag | Database_Query | 67 | ERR_CODE: 403
23/03/2026 | guest_user | File_Access | 73 | ERR_CODE: 403
28/03/2026 | guest_user | Login_Attempt | 97 | ERR_CODE: 500
21/03/2026 | ozhan_akdag | Database_Query | 61 | ERR_CODE: 403
25/03/2026 | bot_analyst | Database_Query | 31 | ERR_CODE: 403
17/03/2026 | guest_user | File_Access | 71 | ERR_CODE: 403
25/03/2026 | guest_user | File_Access | 84 | ERR_CODE: 403
11/03/2026 | guest_user | Database_Query | 96 | ERR_CODE: 404
24/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 14 | ERR_CODE: 200
11/03/2026 | guest_user | Database_Query | 38 | ERR_CODE: 403
13/03/2026 | guest_user | Login_Attempt | 93 | ERR_CODE: 500
15/03/2026 | bot_analyst | Admin_Privilege_Escalation | 17 | ERR_CODE: 500
15/03/2026 | ozhan_akdag | File_Access | 61 | ERR_CODE: 404
25/03/2026 | system_root | Database_Query | 87 | ERR_CODE: 403
10/03/2026 | system_root | Admin_Privilege_Escalation | 88 | ERR_CODE: 200
28/03/2026 | guest_user | Database_Query | 47 | ERR_CODE: 403
27/03/2026 | bot_analyst | Database_Query | 97 | ERR_CODE: 403
22/03/2026 | guest_user | Admin_Privilege_Escalation | 45 | ERR_CODE: 404
20/03/2026 | ozhan_akdag | Database_Query | 99 | ERR_CODE: 404
16/03/2026 | guest_user | Database_Query | 10 | ERR_CODE: 404
14/03/2026 | bot_analyst | Login_Attempt | 22 | ERR_CODE: 500
26/03/2026 | bot_analyst | Admin_Privilege_Escalation | 84 | ERR_CODE: 200
22/03/2026 | guest_user | Login_Attempt | 28 | ERR_CODE: 500
21/03/2026 | bot_analyst | Login_Attempt | 85 | ERR_CODE: 403
28/03/2026 | bot_analyst | Admin_Privilege_Escalation | 72 | ERR_CODE: 500
12/03/2026 | guest_user | File_Access | 60 | ERR_CODE: 404
18/03/2026 | system_root | File_Access | 53 | ERR_CODE: 404
27/03/2026 | guest_user | Login_Attempt | 20 | ERR_CODE: 403
16/03/2026 | guest_user | Admin_Privilege_Escalation | 69 | ERR_CODE: 403
19/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 97 | ERR_CODE: 200
13/03/2026 | guest_user | Admin_Privilege_Escalation | 91 | ERR_CODE: 200
25/03/2026 | guest_user | Database_Query | 87 | ERR_CODE: 403
26/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 92 | ERR_CODE: 500
25/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 28 | ERR_CODE: 404
20/03/2026 | guest_user | Login_Attempt | 56 | ERR_CODE: 404
25/03/2026 | system_root | Database_Query | 77 | ERR_CODE: 500
27/03/2026 | ozhan_akdag | Login_Attempt | 52 | ERR_CODE: 403
27/03/2026 | ozhan_akdag | Database_Query | 49 | ERR_CODE: 200
12/03/2026 | ozhan_akdag | File_Access | 57 | ERR_CODE: 200
10/03/2026 | bot_analyst | File_Access | 56 | ERR_CODE: 500
27/03/2026 | guest_user | Login_Attempt | 24 | ERR_CODE: 500
12/03/2026 | bot_analyst | Login_Attempt | 82 | ERR_CODE: 403
14/03/2026 | system_root | Database_Query | 25 | ERR_CODE: 403
17/03/2026 | ozhan_akdag | File_Access | 85 | ERR_CODE: 404
25/03/2026 | system_root | Admin_Privilege_Escalation | 95 | ERR_CODE: 404
21/03/2026 | ozhan_akdag | File_Access | 72 | ERR_CODE: 200
26/03/2026 | ozhan_akdag | Login_Attempt | 63 | ERR_CODE: 500
11/03/2026 | system_root | Login_Attempt | 57 | ERR_CODE: 403
14/03/2026 | bot_analyst | Database_Query | 84 | ERR_CODE: 403
22/03/2026 | guest_user | Admin_Privilege_Escalation | 36 | ERR_CODE: 403
10/03/2026 | system_root | Database_Query | 33 | ERR_CODE: 403
10/03/2026 | ozhan_akdag | File_Access | 69 | ERR_CODE: 200
24/03/2026 | system_root | File_Access | 23 | ERR_CODE: 500
23/03/2026 | system_root | Admin_Privilege_Escalation | 61 | ERR_CODE: 200
23/03/2026 | ozhan_akdag | Login_Attempt | 82 | ERR_CODE: 500
25/03/2026 | bot_analyst | Database_Query | 78 | ERR_CODE: 200
12/03/2026 | bot_analyst | Admin_Privilege_Escalation | 78 | ERR_CODE: 200
28/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 20 | ERR_CODE: 200
26/03/2026 | guest_user | Database_Query | 24 | ERR_CODE: 403
24/03/2026 | system_root | File_Access | 13 | ERR_CODE: 404
19/03/2026 | system_root | Database_Query | 99 | ERR_CODE: 200
13/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 64 | ERR_CODE: 404
25/03/2026 | guest_user | Login_Attempt | 96 | ERR_CODE: 404
11/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 14 | ERR_CODE: 200
23/03/2026 | ozhan_akdag | Login_Attempt | 75 | ERR_CODE: 403
26/03/2026 | guest_user | File_Access | 90 | ERR_CODE: 403
26/03/2026 | bot_analyst | Admin_Privilege_Escalation | 62 | ERR_CODE: 200
18/03/2026 | bot_analyst | Login_Attempt | 15 | ERR_CODE: 403
27/03/2026 | guest_user | File_Access | 18 | ERR_CODE: 200
13/03/2026 | guest_user | File_Access | 20 | ERR_CODE: 404
10/03/2026 | ozhan_akdag | Database_Query | 20 | ERR_CODE: 404
18/03/2026 | system_root | Admin_Privilege_Escalation | 44 | ERR_CODE: 200
20/03/2026 | bot_analyst | File_Access | 58 | ERR_CODE: 500
25/03/2026 | guest_user | Admin_Privilege_Escalation | 53 | ERR_CODE: 200
23/03/2026 | bot_analyst | File_Access | 97 | ERR_CODE: 404
11/03/2026 | system_root | Database_Query | 97 | ERR_CODE: 200
21/03/2026 | guest_user | File_Access | 83 | ERR_CODE: 500
21/03/2026 | ozhan_akdag | File_Access | 13 | ERR_CODE: 200
23/03/2026 | system_root | Database_Query | 78 | ERR_CODE: 403
25/03/2026 | bot_analyst | Login_Attempt | 18 | ERR_CODE: 500
13/03/2026 | bot_analyst | Login_Attempt | 97 | ERR_CODE: 200
27/03/2026 | system_root | Admin_Privilege_Escalation | 73 | ERR_CODE: 403
13/03/2026 | guest_user | Database_Query | 92 | ERR_CODE: 403
25/03/2026 | system_root | Admin_Privilege_Escalation | 10 | ERR_CODE: 200
25/03/2026 | ozhan_akdag | Login_Attempt | 86 | ERR_CODE: 403
27/03/2026 | guest_user | Admin_Privilege_Escalation | 58 | ERR_CODE: 404
13/03/2026 | guest_user | Database_Query | 58 | ERR_CODE: 200
11/03/2026 | bot_analyst | Login_Attempt | 43 | ERR_CODE: 500
17/03/2026 | guest_user | Login_Attempt | 17 | ERR_CODE: 500
11/03/2026 | system_root | Login_Attempt | 81 | ERR_CODE: 500
25/03/2026 | guest_user | File_Access | 18 | ERR_CODE: 500
26/03/2026 | guest_user | Database_Query | 33 | ERR_CODE: 200
21/03/2026 | bot_analyst | Admin_Privilege_Escalation | 80 | ERR_CODE: 404
19/03/2026 | guest_user | Admin_Privilege_Escalation | 54 | ERR_CODE: 500
12/03/2026 | bot_analyst | Admin_Privilege_Escalation | 48 | ERR_CODE: 404
11/03/2026 | bot_analyst | Database_Query | 77 | ERR_CODE: 404
15/03/2026 | bot_analyst | Login_Attempt | 43 | ERR_CODE: 200
14/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 55 | ERR_CODE: 500
23/03/2026 | guest_user | Login_Attempt | 78 | ERR_CODE: 404
26/03/2026 | ozhan_akdag | Admin_Privilege_Escalation | 65 | ERR_CODE: 404
24/03/2026 | system_root | File_Access | 22 | ERR_CODE: 403
20/03/2026 | guest_user | Admin_Privilege_Escalation | 64 | ERR_CODE: 200
