--- SALES REPORT V2.1 ---
DATE: 2026-03-13 | OPERATOR: ADMIN
ID:001 | BRANCH:BRANCH_A | ITEM:PRO_Saw | QTY:10 | PRICE:73
ID:002 | BRANCH:BRANCH_A | ITEM:PRO_Saw | QTY:3 | PRICE:89
ID:003 | BRANCH:BRANCH_C | ITEM:Hammer | QTY:4 | PRICE:43
ID:004 | BRANCH:BRANCH_C | ITEM:PRO_Drill | QTY:2 | PRICE:149
ID:005 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:6 | PRICE:141
ID:006 | BRANCH:BRANCH_C | ITEM:PRO_Drill | QTY:10 | PRICE:124
ID:007 | BRANCH:BRANCH_C | ITEM:PRO_Drill | QTY:3 | PRICE:94
ID:008 | BRANCH:BRANCH_B | ITEM:Hammer | QTY:8 | PRICE:40
ID:009 | BRANCH:BRANCH_A | ITEM:PRO_Saw | QTY:4 | PRICE:112
ID:010 | BRANCH:BRANCH_B | ITEM:Wrench | QTY:5 | PRICE:97
ID:011 | BRANCH:BRANCH_B | ITEM:Wrench | QTY:10 | PRICE:51
ID:012 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:2 | PRICE:138
ID:013 | BRANCH:BRANCH_C | ITEM:Wrench | QTY:9 | PRICE:50
ID:014 | BRANCH:BRANCH_A | ITEM:PRO_Saw | QTY:1 | PRICE:100
ID:015 | BRANCH:BRANCH_B | ITEM:Hammer | QTY:2 | PRICE:73
ID:016 | BRANCH:BRANCH_A | ITEM:Hammer | QTY:2 | PRICE:60
ID:017 | BRANCH:BRANCH_B | ITEM:Wrench | QTY:8 | PRICE:57
ID:018 | BRANCH:BRANCH_A | ITEM:PRO_Screwdriver | QTY:2 | PRICE:68
ID:019 | BRANCH:BRANCH_B | ITEM:Wrench | QTY:7 | PRICE:108
ID:020 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:1 | PRICE:57
ID:021 | BRANCH:BRANCH_C | ITEM:Wrench | QTY:9 | PRICE:137
ID:022 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:3 | PRICE:38
ID:023 | BRANCH:BRANCH_A | ITEM:Hammer | QTY:5 | PRICE:103
ID:024 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:4 | PRICE:130
ID:025 | BRANCH:BRANCH_A | ITEM:Hammer | QTY:1 | PRICE:54
ID:026 | BRANCH:BRANCH_B | ITEM:Hammer | QTY:6 | PRICE:115
ID:027 | BRANCH:BRANCH_B | ITEM:PRO_Saw | QTY:10 | PRICE:66
ID:028 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:1 | PRICE:99
ID:029 | BRANCH:BRANCH_A | ITEM:PRO_Screwdriver | QTY:4 | PRICE:55
ID:030 | BRANCH:BRANCH_C | ITEM:PRO_Drill | QTY:10 | PRICE:38
ID:031 | BRANCH:BRANCH_A | ITEM:PRO_Drill | QTY:8 | PRICE:68
ID:032 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:10 | PRICE:21
ID:033 | BRANCH:BRANCH_B | ITEM:PRO_Drill | QTY:6 | PRICE:120
ID:034 | BRANCH:BRANCH_C | ITEM:Hammer | QTY:8 | PRICE:21
ID:035 | BRANCH:BRANCH_B | ITEM:PRO_Saw | QTY:4 | PRICE:106
ID:036 | BRANCH:BRANCH_C | ITEM:Wrench | QTY:1 | PRICE:38
ID:037 | BRANCH:BRANCH_A | ITEM:PRO_Saw | QTY:10 | PRICE:78
ID:038 | BRANCH:BRANCH_C | ITEM:Hammer | QTY:1 | PRICE:45
ID:039 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:8 | PRICE:89
ID:040 | BRANCH:BRANCH_B | ITEM:PRO_Screwdriver | QTY:8 | PRICE:126
ID:041 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:7 | PRICE:51
ID:042 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:7 | PRICE:28
ID:043 | BRANCH:BRANCH_A | ITEM:Wrench | QTY:3 | PRICE:94
ID:044 | BRANCH:BRANCH_B | ITEM:Wrench | QTY:5 | PRICE:50
ID:045 | BRANCH:BRANCH_C | ITEM:PRO_Screwdriver | QTY:7 | PRICE:133
ID:046 | BRANCH:BRANCH_B | ITEM:PRO_Screwdriver | QTY:6 | PRICE:49
ID:047 | BRANCH:BRANCH_B | ITEM:PRO_Screwdriver | QTY:5 | PRICE:33
ID:048 | BRANCH:BRANCH_C | ITEM:PRO_Drill | QTY:4 | PRICE:81
