[14:57] - light_y: 36.4 (Lux)
[23:41] - temp_01: 46.3 (Celsius)
[14:10] - hum_v2: 84.9 (Percent)
[22:43] - light_y: 38.7 (Lux)
[14:18] - hum_v2: 75.2 (Percent)
[22:38] - temp_01: 59.4 (Celsius)
[13:23] - temp_01: 58.8 (Celsius)
[16:39] - light_y: 47.0 (Lux)
[20:22] - hum_v2: 47.6 (Percent)
[19:56] - hum_v2: 80.2 (Percent)
[14:28] - hum_v2: 45.7 (Percent)
[10:43] - temp_01: 13.2 (Celsius)
[12:35] - press_x: 83.7 (Bar)
[20:46] - temp_01: 24.9 (Celsius)
[23:17] - light_y: 91.3 (Lux)
[22:13] - hum_v2: 67.9 (Percent)
[16:48] - hum_v2: 24.9 (Percent)
[23:24] - temp_01: 94.5 (Celsius)
[17:16] - press_x: 55.9 (Bar)
[21:22] - press_x: 15.9 (Bar)
[14:32] - hum_v2: 70.2 (Percent)
[21:26] - press_x: 37.7 (Bar)
[21:56] - hum_v2: 57.5 (Percent)
[16:38] - light_y: 57.9 (Lux)
[13:28] - hum_v2: 63.7 (Percent)
[23:22] - light_y: 78.9 (Lux)
[16:51] - hum_v2: 19.3 (Percent)
[14:18] - hum_v2: 65.7 (Percent)
[10:33] - temp_01: 16.0 (Celsius)
[12:14] - temp_01: 78.3 (Celsius)
[17:37] - light_y: 53.5 (Lux)
[18:54] - temp_01: 80.4 (Celsius)
[21:54] - light_y: 48.4 (Lux)
[16:33] - temp_01: 84.7 (Celsius)
[12:49] - light_y: 79.4 (Lux)
[20:47] - temp_01: 36.7 (Celsius)
[16:58] - temp_01: 66.6 (Celsius)
[23:10] - light_y: 84.2 (Lux)
[15:23] - temp_01: 66.0 (Celsius)
[17:50] - temp_01: 12.4 (Celsius)
